OBJECTID,Timestamp_,Station,District,Latitude,Longitude,Freeway,Direction_of_Travel,Lane_Type,Station_Length,Samples,F__Observed,Total_Flow,Avg_Occupancy,Avg_Speed,Lane_N_Samples,Lane_N_Flow,Lane_N_Avg_Occ,Lane_N_Avg_Speed,Lane_N_Observed,x,y
57,3/29/2020 0:00:00,400295,4,38.070031999999998,-122.126275000000007,680,N,ML,0.510000000000000,20,100,69,0.016800000000000,71.400000000000006,10,48,0.020300000000000,74.000000000000000,1,576636.575699999928474,4213956.942600000649691
58,3/29/2020 0:00:00,400296,4,37.420358999999998,-121.939149999999998,237,E,ML,0.530000000000000,30,0,63,0.018600000000000,63.299999999999997,10,8,0.010800000000000,69.599999999999994,0,593874.030600000172853,4142026.646600000560284
59,3/29/2020 0:00:00,400297,4,37.689523000000001,-122.119265999999996,238,S,ML,0.180000000000000,30,0,100,0.025900000000000,61.100000000000001,10,31,0.024600000000000,65.900000000000006,0,577656.256099999882281,4171732.375800000503659
60,3/29/2020 0:00:00,400298,4,37.293047000000001,-121.937860999999998,17,S,ML,1.095000000000000,30,100,33,0.006100000000000,67.000000000000000,10,3,0.001700000000000,71.799999999999997,1,594146.209800000302494,4127916.018999999389052
61,3/29/2020 0:00:00,400300,4,37.805658999999999,-122.303914000000006,880,S,ML,0.325000000000000,30,100,83,0.014500000000000,70.500000000000000,10,16,0.010400000000000,72.000000000000000,1,561276.332899999804795,4184488.898299999535084
62,3/29/2020 0:00:00,400301,4,37.999310999999999,-122.284109999999998,80,W,ML,0.334000000000000,40,100,102,0.013500000000000,67.099999999999994,10,9,0.003900000000000,74.900000000000006,1,562852.277400000020862,4205982.820599999278784
63,3/29/2020 0:00:00,400302,4,37.800558000000002,-122.227576999999997,580,E,ML,0.553000000000000,40,0,65,0.014400000000000,60.700000000000003,10,8,0.015000000000000,70.500000000000000,0,567997.321499999612570,4183959.276000000536442
64,3/29/2020 0:00:00,400303,4,37.875017000000000,-122.045017999999999,680,N,ML,0.310000000000000,40,0,300,0.045300000000000,68.400000000000006,10,63,0.032100000000000,74.200000000000003,0,583989.736499999649823,4192390.017300000414252
65,3/29/2020 0:00:00,400304,4,38.069308999999997,-122.538883999999996,101,S,ML,0.330000000000000,40,0,107,0.022700000000000,66.299999999999997,10,16,0.012700000000000,73.099999999999994,0,540445.982400000095367,4213602.165999999269843
66,3/29/2020 0:00:00,400307,4,37.997771000000000,-122.038560000000004,242,S,ML,0.375000000000000,30,100,97,0.018800000000000,67.799999999999997,10,34,0.019300000000000,71.900000000000006,1,584418.437699999660254,4205994.316999999806285
67,3/29/2020 0:00:00,400308,4,37.800758000000002,-122.227468999999999,580,W,ML,0.553000000000000,40,0,116,0.028000000000000,64.700000000000003,10,22,0.019800000000000,71.000000000000000,0,568007.676400000229478,4184006.768100000917912
68,3/29/2020 0:00:00,400309,4,37.495016000000000,-121.951358999999997,880,N,ML,0.375000000000000,40,100,62,0.013000000000000,66.799999999999997,10,1,0.000600000000000,74.799999999999997,1,592701.430200000293553,4150316.606300000101328
69,3/29/2020 0:00:00,400312,4,37.677441999999999,-122.118925000000004,880,S,ML,0.320000000000000,60,0,373,0.052300000000000,64.299999999999997,10,69,0.056600000000000,70.000000000000000,0,577695.705000000074506,4170398.580700000748038
70,3/29/2020 0:00:00,400313,4,37.993510999999998,-122.301607000000004,80,W,ML,0.402000000000000,40,100,101,0.015500000000000,67.599999999999994,10,11,0.007000000000000,75.000000000000000,1,561324.467799999751151,4205327.825099999085069
71,3/29/2020 0:00:00,400314,4,37.552461000000001,-122.303912999999994,92,E,ML,0.540000000000000,20,0,59,0.036000000000000,59.600000000000001,10,23,0.025600000000000,66.000000000000000,0,561484.986200000159442,4156392.966900000348687
72,3/29/2020 0:00:00,400316,4,37.639474000000000,-122.405195000000006,101,N,ML,0.350000000000000,40,100,46,0.008500000000000,67.900000000000006,10,4,0.002500000000000,74.700000000000003,1,552474.414599999785423,4165987.829199999570847
73,3/29/2020 0:00:00,400318,4,37.731197999999999,-122.436257999999995,280,S,ML,0.530000000000000,40,100,63,0.010600000000000,67.400000000000006,10,4,0.002100000000000,74.900000000000006,1,549672.231900000013411,4176155.541500000283122
74,3/29/2020 0:00:00,400319,4,37.506335000000000,-122.337198000000001,280,N,ML,4.645000000000000,40,0,30,0.004900000000000,66.700000000000003,10,5,0.001600000000000,69.400000000000006,0,558577.502000000327826,4151245.624500000849366
75,3/29/2020 0:00:00,400321,4,37.659179000000002,-122.103312000000003,880,S,ML,0.255000000000000,50,0,371,0.054100000000000,69.200000000000003,10,82,0.043300000000000,73.599999999999994,0,579098.252100000157952,4168393.700300000607967
76,3/29/2020 0:00:00,400322,4,37.734299000000000,-122.409462000000005,280,N,ML,1.540000000000000,40,0,62,0.021200000000000,66.000000000000000,10,17,0.020500000000000,70.200000000000003,0,552031.206000000238419,4176501.911800000816584
77,3/29/2020 0:00:00,400323,4,37.892701000000002,-122.160679999999999,24,E,ML,0.415000000000000,40,100,53,0.010600000000000,68.500000000000000,10,20,0.016200000000000,75.700000000000003,1,573794.535500000230968,4194242.511800000444055
78,3/29/2020 0:00:00,400324,4,38.018707999999997,-121.941653000000002,4,E,ML,0.280000000000000,40,100,63,0.011500000000000,68.500000000000000,10,4,0.002700000000000,74.900000000000006,1,592902.180200000293553,4208416.337300000712276
79,3/29/2020 0:00:00,400325,4,37.304611999999999,-121.818005999999997,101,N,ML,0.215000000000000,40,100,74,0.012000000000000,66.000000000000000,10,6,0.003100000000000,75.000000000000000,1,604750.016400000080466,4129328.646500000730157
80,3/29/2020 0:00:00,400329,4,37.903573999999999,-122.312439999999995,80,E,ML,0.408000000000000,40,100,88,0.011900000000000,68.599999999999994,10,10,0.004800000000000,74.900000000000006,1,560449.445799999870360,4195352.320900000631809
81,3/29/2020 0:00:00,400330,4,37.398628000000002,-122.026802000000004,101,S,ML,0.310000000000000,40,100,44,0.007900000000000,67.400000000000006,10,3,0.001800000000000,74.799999999999997,1,586137.737099999561906,4139545.792400000616908
82,3/29/2020 0:00:00,400331,4,37.620719999999999,-122.399675999999999,101,N,ML,0.390000000000000,50,100,73,0.010000000000000,70.000000000000000,10,4,0.002100000000000,76.500000000000000,1,552983.172199999913573,4163905.317500000819564
83,3/29/2020 0:00:00,400333,4,37.719583999999998,-122.177086000000003,880,N,ML,0.340000000000000,40,0,139,0.032400000000000,64.599999999999994,10,30,0.026500000000000,70.200000000000003,0,572530.630599999800324,4175038.095399999991059
84,3/29/2020 0:00:00,400334,4,37.701110999999997,-121.817967999999993,580,W,ML,0.190000000000000,50,0,139,0.019900000000000,69.099999999999994,10,12,0.007200000000000,74.700000000000003,0,604197.538599999621511,4173311.370600000023842
85,3/29/2020 0:00:00,400335,4,37.720756000000002,-121.937890999999993,680,N,ML,0.379000000000000,40,100,0,0.000000000000000,68.900000000000006,10,0,0.000000000000000,74.700000000000003,1,593610.413499999791384,4175378.963099999353290
86,3/29/2020 0:00:00,400336,4,37.250624000000002,-121.928208999999995,85,N,ML,0.600000000000000,40,0,111,0.019300000000000,63.200000000000003,10,16,0.010800000000000,69.599999999999994,0,595048.899600000120699,4123219.439600000157952
87,3/29/2020 0:00:00,400337,4,38.075741000000001,-122.231688000000005,80,W,ML,0.635000000000000,30,100,77,0.022200000000000,68.500000000000000,10,20,0.021500000000000,65.000000000000000,1,567385.552799999713898,4214491.512599999085069
88,3/29/2020 0:00:00,400338,4,37.671398000000003,-122.466632000000004,280,N,ML,2.810000000000000,40,100,50,0.010100000000000,66.599999999999994,10,3,0.002000000000000,74.700000000000003,1,547037.009300000034273,4169503.605900000780821
89,3/29/2020 0:00:00,400339,4,37.798409999999997,-122.216924000000006,580,W,ML,0.655000000000000,40,100,77,0.012800000000000,67.700000000000003,10,7,0.004500000000000,74.799999999999997,1,568939.470399999991059,4183750.398800000548363
90,3/29/2020 0:00:00,400340,4,37.629745999999997,-122.402660999999995,101,S,ML,0.470000000000000,40,100,37,0.007600000000000,67.400000000000006,10,3,0.001900000000000,74.799999999999997,1,552712.778500000014901,4164919.379499999806285
91,3/29/2020 0:00:00,400341,4,37.771469000000003,-122.223070000000007,880,N,ML,0.560000000000000,40,0,142,0.030100000000000,63.399999999999999,10,43,0.030600000000000,69.000000000000000,0,568421.674399999901652,4180745.924499999731779
92,3/29/2020 0:00:00,400343,4,37.348906999999997,-121.917833000000002,880,N,ML,0.735000000000000,30,100,57,0.014700000000000,67.299999999999997,10,11,0.007600000000000,71.900000000000006,1,595849.808600000105798,4134125.309900000691414
93,3/29/2020 0:00:00,400345,4,37.882713000000003,-122.180199999999999,24,E,ML,0.375000000000000,50,100,0,0.000000000000000,71.200000000000003,10,0,0.000000000000000,76.400000000000006,1,572092.330000000074506,4193116.675799999386072
94,3/29/2020 0:00:00,400349,4,38.057912000000002,-122.530823999999996,101,N,ML,0.375000000000000,40,100,97,0.017000000000000,69.400000000000006,10,25,0.017500000000000,76.700000000000003,1,541159.033099999651313,4212346.091900000348687
95,3/29/2020 0:00:00,400350,4,37.506759000000002,-122.338520000000003,280,S,ML,4.615000000000000,40,0,20,0.001500000000000,64.000000000000000,10,8,0.002500000000000,66.400000000000006,0,558463.740600000135601,4151312.542600000277162
96,3/29/2020 0:00:00,400353,4,37.383125000000000,-121.967495999999997,101,N,ML,0.300000000000000,40,100,67,0.012500000000000,67.400000000000006,10,6,0.003700000000000,74.799999999999997,1,591413.174300000071526,4137874.930900000035763
97,3/29/2020 0:00:00,400354,4,37.892848999999998,-122.166613999999996,24,W,ML,0.455000000000000,50,100,96,0.011700000000000,71.000000000000000,10,25,0.009800000000000,76.500000000000000,1,573273.787499999627471,4194258.160700000822544
98,3/29/2020 0:00:00,400359,4,37.922431000000003,-122.357855000000001,580,E,ML,1.070000000000000,30,0,42,0.009400000000000,66.400000000000006,10,11,0.006500000000000,70.799999999999997,0,556442.913900000043213,4197409.628900000825524
99,3/29/2020 0:00:00,400360,4,37.730697999999997,-122.187572000000003,880,N,ML,0.405000000000000,40,0,90,0.021300000000000,65.500000000000000,10,21,0.016000000000000,71.299999999999997,0,571594.832100000232458,4176248.946100000292063
100,3/29/2020 0:00:00,400361,4,37.937367999999999,-122.326195999999996,80,W,ML,0.395000000000000,40,100,142,0.022800000000000,67.900000000000006,10,16,0.008200000000000,75.000000000000000,1,559215.017199999652803,4199095.197300000116229
101,3/29/2020 0:00:00,400363,4,37.505941000000000,-121.965864999999994,880,S,ML,0.375000000000000,40,100,56,0.008200000000000,69.200000000000003,10,7,0.003800000000000,74.799999999999997,1,591398.737999999895692,4151500.927200000733137
102,3/29/2020 0:00:00,400369,4,38.088512999999999,-122.109515000000002,680,N,ML,1.605000000000000,20,0,66,0.031300000000000,64.200000000000003,10,24,0.025000000000000,66.599999999999994,0,578089.321200000122190,4216009.373099999502301
103,3/29/2020 0:00:00,400372,4,37.384819999999998,-121.974250999999995,101,S,ML,0.450000000000000,30,75,74,0.013900000000000,66.099999999999994,10,6,0.002800000000000,74.799999999999997,1,590811.247399999760091,4138064.763900000602007
104,3/29/2020 0:00:00,400376,4,37.496302000000000,-121.923873999999998,680,N,ML,0.870000000000000,40,0,138,0.029000000000000,67.799999999999997,10,29,0.020600000000000,73.500000000000000,0,595122.536999999545515,4150472.614800000563264
105,3/29/2020 0:00:00,400378,4,37.925317999999997,-122.320965000000001,80,W,ML,0.310000000000000,50,80,205,0.028300000000000,69.200000000000003,10,45,0.036400000000000,70.200000000000003,0,559675.406799999997020,4197744.064300000667572
106,3/29/2020 0:00:00,400381,4,37.593147999999999,-122.365696999999997,101,N,ML,0.360000000000000,40,100,71,0.011200000000000,67.400000000000006,10,5,0.003300000000000,74.799999999999997,1,555993.283900000154972,4160857.430600000545382
107,3/29/2020 0:00:00,400382,4,38.037635000000002,-122.536715999999998,101,S,ML,0.375000000000000,40,100,48,0.009000000000000,69.099999999999994,10,17,0.010300000000000,74.799999999999997,1,540656.167999999597669,4210101.952400000765920
108,3/29/2020 0:00:00,400383,4,37.670803999999997,-122.110602000000000,880,S,ML,0.395000000000000,60,0,299,0.045300000000000,68.799999999999997,10,51,0.044400000000000,74.599999999999994,0,578434.632899999618530,4169674.138299999758601
109,3/29/2020 0:00:00,400388,4,37.480426000000001,-122.174688000000003,101,N,ML,0.495000000000000,50,0,110,0.015900000000000,68.299999999999997,10,16,0.008200000000000,74.599999999999994,0,572968.296199999749660,4148501.607999999076128
110,3/29/2020 0:00:00,400389,4,37.887084000000002,-122.177406000000005,24,E,ML,0.320000000000000,50,0,58,0.010900000000000,68.400000000000006,10,8,0.016200000000000,73.500000000000000,0,572329.563500000163913,4193606.387000000104308
111,3/29/2020 0:00:00,400390,4,38.081688000000000,-122.547803999999999,101,N,ML,0.415000000000000,40,0,103,0.026100000000000,64.599999999999994,10,21,0.020800000000000,70.299999999999997,0,539657.614900000393391,4214979.836200000718236
112,3/29/2020 0:00:00,400392,4,38.063597000000001,-122.535213999999996,101,S,ML,0.315000000000000,40,100,82,0.012500000000000,67.000000000000000,10,2,0.001100000000000,74.900000000000006,1,540770.287999999709427,4212987.504499999806285
113,3/29/2020 0:00:00,400393,4,37.837989000000000,-122.014483999999996,680,S,ML,0.250000000000000,40,0,78,0.012300000000000,66.500000000000000,10,12,0.004200000000000,71.799999999999997,0,586722.497800000011921,4188307.339800000190735
114,3/29/2020 0:00:00,400394,4,37.364381999999999,-121.902692000000002,101,S,ML,0.280000000000000,50,0,136,0.028300000000000,67.099999999999994,10,24,0.022800000000000,73.900000000000006,0,597164.947800000198185,4135874.240599999204278
115,3/29/2020 0:00:00,400395,4,37.914243999999997,-122.325871000000006,580,E,ML,0.490000000000000,30,0,38,0.013200000000000,64.799999999999997,10,7,0.014800000000000,70.400000000000006,0,559260.446399999782443,4196522.028100000694394
116,3/29/2020 0:00:00,400397,4,37.726891000000002,-122.445511999999994,280,S,ML,0.495000000000000,50,0,90,0.022600000000000,65.200000000000003,10,4,0.003500000000000,71.500000000000000,0,548862.998999999836087,4175663.125900000333786
