OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y,x_new,y_new
64,38:27.2,140,1.10E+12,Redwood Hwy,M,S1200,38.41356697,-122.7159139,93,109,22,19,0.959999979,FALSE,524802.9331,4251755.864,126046.9054,60851.40519
65,38:27.6,140,1.10E+12,Redwood Hwy,M,S1200,38.49403829,-122.7531417,113,113,13,13,0.930000007,FALSE,521528.6508,4260665.911,27430.49415,-2479.674249
66,38:28.0,140,1.10E+12,Redwood Hwy,M,S1200,38.55996165,-122.8211179,113,113,44,44,0.889999986,FALSE,515585.0978,4267953.056,-73445.80827,5456.283139
67,38:28.4,140,1.10E+12,Redwood Hwy,M,S1200,38.62907965,-122.8779026,111,111,26,26,0.870000005,FALSE,510624.0828,4275625.158,-103649.9441,-15352.62808
68,38:28.8,140,1.10E+12,Redwood Hwy,M,S1200,38.70619722,-122.9075831,115,115,60,60,0.5,FALSE,508033.5136,4284189.674,-57294.92674,7193.641644
69,38:29.2,140,1.10E+12,Redwood Hwy,M,S1200,38.7611733,-122.9821252,115,115,62,62,0.5,FALSE,501552.5702,4290288.092,-7293.758351,-13518.77602
70,38:29.6,140,1.10E+12,Redwood Hwy,M,S1200,38.83847426,-123.0206944,106,106,47,47,0.879999995,FALSE,498203.1056,4298855.868,-25380.55747,8337.418929
71,38:30.0,145,1.10E+12,State Rte 116,S,S1200,38.23709724,-122.5171953,84,84,66,66,0.959999979,FALSE,542249.6086,4232235.404,-2614.022279,-87419.3865
72,38:30.4,146,1.10E+12,State Rte 116,S,S1200,38.46777898,-123.035392,76,76,81,81,0.5,FALSE,496910.6237,4257732.216,9478.170795,19268.82066
73,38:30.8,146,1.10E+12,State Rte 116,S,S1200,38.50107171,-123.0051325,59,59,56,56,0.5,FALSE,499551.78,4261415.896,6673.72352,924.4987752
74,38:31.2,146,1.10E+12,State Rte 116,S,S1200,38.47697213,-122.932631,68,68,101,101,0.5,FALSE,505876.3301,4258756.424,-228502.4904,21092.82771
75,38:31.6,146,1.10E+12,State Rte 116,S,S1200,38.43670982,-122.8575304,66,66,53,53,0.870000005,FALSE,512436.8906,4254280.49,184758.1837,-31719.56266
76,38:32.1,149,1.10E+12,Bay Hwy,M,S1200,38.33734025,-122.9810025,83,83,85,85,0.5,FALSE,501657.7331,4243238.763,55493.92034,-10447.74432
77,38:32.5,163,1.10E+12,I- 80,I,S1100,37.88625649,-122.3089288,106,106,28,28,0.939999998,FALSE,560769.5971,4193424.568,-16634.49319,5140.81057
78,38:32.9,168,1.10E+12,I- 680,I,S1100,37.64496985,-121.8894117,108,108,51,51,0.959999979,FALSE,597975.803,4167017.708,38928.17303,2753.081287
79,38:33.3,168,1.10E+12,I- 680,I,S1100,37.56875773,-121.895184,111,111,64,64,0.839999974,FALSE,597563.7132,4158560.399,17919.18427,-11727.63524
80,38:33.7,168,1.10E+12,I- 680,I,S1100,37.50481699,-121.9337664,106,106,43,43,0.959999979,FALSE,594237.6615,4151417.478,-55247.95451,-526.8663818
81,38:34.1,170,1.11E+12,I- 580,I,S1100,37.79600251,-122.2096748,109,109,43,43,0.949999988,FALSE,569586.5782,4183484.95,38163.46685,15021.15541
82,38:34.5,170,1.11E+12,I- 580,I,S1100,37.74273075,-122.1459761,114,114,45,45,0.939999998,FALSE,575240.038,4177608.782,-25335.10875,8990.864308
83,38:34.9,170,1.11E+12,I- 580,I,S1100,37.69055404,-122.077259,112,112,30,30,0.930000007,FALSE,581357.3979,4171896.671,2441.162404,-687.9296999
84,38:35.3,170,1.11E+12,I- 580,I,S1100,37.69942653,-121.9861077,113,113,60,60,0.949999988,FALSE,589381.1282,4172961.624,-124299.5481,7594.655023
85,38:35.7,170,1.11E+12,I- 580,I,S1100,37.7014274,-121.8916384,114,114,17,17,0.920000017,FALSE,597707.9652,4173272.674,221699.5368,-32978.3144
86,38:36.1,170,1.11E+12,I- 580,I,S1100,37.70064147,-121.7965128,115,115,50,50,0.959999979,FALSE,606092.1529,4173288.082,-50167.93109,8313.172711
87,38:36.5,170,1.11E+12,I- 580,I,S1100,37.71684238,-121.7045773,117,117,51,51,0.910000026,FALSE,614170.6576,4175197.538,15575.47519,-13876.32379
88,38:36.9,170,1.11E+12,I- 580,I,S1100,37.7344615,-121.6145731,108,108,59,59,0.949999988,FALSE,622082.1297,4177261.587,-1181.776734,1056.8786
89,38:37.3,171,1.10E+12,Macarthur Fwy,M,S1100,37.79724792,-122.2131909,109,109,43,43,0.949999988,FALSE,569268.3926,4183617.713,-13974.84228,4387.70205
90,38:37.7,171,1.10E+12,Macarthur Fwy,M,S1100,37.74506654,-122.1488796,114,114,45,45,0.939999998,FALSE,574990.2074,4177877.404,-4320.493712,2731.978891
91,38:38.1,172,1.10E+12,Arthur H Breed Fwy,M,S1100,37.7027877,-122.0147018,111,111,57,57,0.949999988,FALSE,586853.6517,4173307.152,8756.299839,6303.725843
