OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y
112,38:46.4,263,110697000000.000000000000000,Rio Dixon Rd,M,S1200,38.335230220000000,-121.823277800000000,95,95,75,75,0.500000000000000,FALSE,602839.162399999797344,4243676.938899999484420
113,38:46.8,264,110697000000.000000000000000,I- 80,I,S1100,38.224595979999997,-122.125825800000001,115,115,23,23,0.939999998000000,FALSE,576517.786399999633431,4231104.902799999341369
114,38:47.2,264,110697000000.000000000000000,I- 80,I,S1100,38.275194200000001,-122.047994000000003,115,115,21,21,0.930000007000000,FALSE,583276.976999999955297,4236793.297199999913573
115,38:47.6,264,110697000000.000000000000000,I- 80,I,S1100,38.346725350000000,-121.995857500000000,118,118,19,19,0.889999986000000,FALSE,587750.289499999955297,4244758.663899999111891
116,38:48.0,264,110697000000.000000000000000,I- 80,I,S1100,38.400359580000000,-121.918026600000005,113,113,50,50,0.899999976000000,FALSE,594475.505199999548495,4250788.615700000897050
117,38:48.4,264,110697000000.000000000000000,I- 80,I,S1100,38.458265460000000,-121.842548800000003,116,116,42,42,0.920000017000000,FALSE,600987.540599999949336,4257302.809100000187755
118,38:48.8,264,110697000000.000000000000000,I- 80,I,S1100,38.519755600000003,-121.770070300000000,119,119,34,34,0.939999998000000,FALSE,607217.557000000029802,4264218.585000000894070
119,38:49.2,265,1105050000000.000000000000000,I- 680,I,S1100,38.119803370000000,-122.106024000000005,117,117,50,50,0.939999998000000,FALSE,578360.891099999658763,4219493.264799999073148
120,38:49.6,265,1105050000000.000000000000000,I- 680,I,S1100,38.205582690000000,-122.137873499999998,112,112,41,41,0.920000017000000,FALSE,575479.582100000232458,4228988.765699999406934
121,38:50.0,270,110697000000.000000000000000,I- 780,I,S1100,38.054679239999999,-122.146655199999998,108,108,40,40,0.920000017000000,FALSE,574869.506900000385940,4212226.997800000011921
122,38:50.4,278,1104470000000.000000000000000,State Rte 128,S,S1200,38.755057149999999,-122.970893399999994,114,114,35,35,0.500000000000000,FALSE,502528.513000000268221,4289604.284199999645352
123,38:50.8,279,1104470000000.000000000000000,State Rte 116,S,S1200,38.289445839999999,-122.692576399999993,111,111,61,61,0.939999998000000,FALSE,526889.641099999658763,4237980.561599999666214
